                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.8854,                 1.4756,                  2.643,                0.69416,                    0.7,                0.77616,                0.51467,                 1.5031,                  1.284,                  2.325,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.9028,                 1.4957,                  2.512,                0.69416,                    0.7,                0.77616,                0.51467,                 1.5031,                  1.284,                  2.325,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.8909,                 1.5422,                 2.6364,                0.70798,                      1,                0.88253,                0.56446,                 1.5026,                 1.1922,                 2.3406,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.8084,                 1.5892,                 2.5614,                0.70798,                      1,                0.88253,                0.56446,                 1.5026,                 1.1922,                 2.3406,               0.007426,               0.007426,               0.007426
                    132,                 1.7852,                  1.256,                 2.5283,                0.54042,                0.70594,                0.82703,                 0.5403,                 1.5911,                 1.2953,                 2.4089,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.9873,                 1.4296,                  2.661,                0.54042,                0.70594,                0.82703,                 0.5403,                 1.5911,                 1.2953,                 2.4089,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.7374,                 1.4277,                 2.4969,                0.40948,                    0.5,                0.48656,                0.32375,                 1.6981,                 1.7597,                 2.5085,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.7515,                 1.2592,                 2.7374,                0.40948,                    0.5,                0.48656,                0.32375,                 1.6981,                 1.7597,                 2.5085,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.8767,                 1.4333,                 2.6027,                0.16207,                    0.4,                0.14577,                0.09821,                 1.7402,                 2.2782,                 2.6641,               0.007327,               0.007327,               0.007327
                    137,                 1.6602,                 1.2804,                 2.5968,                0.16207,                    0.4,                0.14577,                0.09821,                 1.7402,                 2.2782,                 2.6641,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.8755,                  1.486,                 2.6268,                 0.4885,                    0.1,                0.19197,                0.05243,                 1.9869,                 2.6308,                 3.2444,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.9075,                 1.4348,                 2.5657,                 0.4885,                    0.1,                0.19197,                0.05243,                 1.9869,                 2.6308,                 3.2444,              0.0072676,              0.0072676,              0.0072676
                    140,                  2.036,                 1.4681,                 2.6581,                0.61471,                    0.1,                0.14356,                0.03612,                 2.1974,                 3.3545,                 3.6568,              0.0072478,              0.0072478,              0.0072478
